L,snr,cens,snr_exact,cens_realized,method,fdp,tpp,fdp_se,tpp_se
5,0.1,0.4,0.1,0.4007799999999999,AD-AFS-Cox-T-Rex,0.002,0.0,0.002,0.0
5,0.1,0.4,0.1,0.4007799999999999,VD-AFS-Cox-T-Rex,0.0,0.0,0.0,0.0
5,0.1,0.4,0.1,0.4007799999999999,VD-AFS-Gauss,0.0,0.0,0.0,0.0
5,0.1,0.4,0.1,0.4007799999999999,MX-Knockoff-Cox,0.001875,0.0002,0.001875,0.0001999999999999
5,0.25,0.4,0.25,0.39948,AD-AFS-Cox-T-Rex,0.0013333333333333,0.0032,0.0013333333333333,0.0011234073562943
5,0.25,0.4,0.25,0.39948,VD-AFS-Cox-T-Rex,0.0023333333333333,0.0032,0.0016650626884299,0.0010871447776331
5,0.25,0.4,0.25,0.39948,VD-AFS-Gauss,0.001,0.0002,0.001,0.0002
5,0.25,0.4,0.25,0.39948,MX-Knockoff-Cox,0.0052867132867132,0.0032,0.0026555878148809,0.0016201140512563
5,0.5,0.4,0.5,0.3989933333333333,AD-AFS-Cox-T-Rex,0.0055,0.047,0.0026422036746425,0.004523596561554
5,0.5,0.4,0.5,0.3989933333333333,VD-AFS-Cox-T-Rex,0.0057523809523809,0.0486,0.0021884872119381,0.0045692270321513
5,0.5,0.4,0.5,0.3989933333333333,VD-AFS-Gauss,0.0,0.0016,0.0,0.0006898055257292
5,0.5,0.4,0.5,0.3989933333333333,MX-Knockoff-Cox,0.0210610139860139,0.0317999999999999,0.0043881890692355,0.0063952575114122
5,1.0,0.4,1.0,0.40012,AD-AFS-Cox-T-Rex,0.0156619769119769,0.4416,0.0032212838729228,0.0121899988574358
5,1.0,0.4,1.0,0.40012,VD-AFS-Cox-T-Rex,0.0141748196248196,0.437,0.0026323606126759,0.012432664327672
5,1.0,0.4,1.0,0.40012,VD-AFS-Gauss,0.0036666666666666,0.0523999999999999,0.0016602414560157,0.0050278263768901
5,1.0,0.4,1.0,0.40012,MX-Knockoff-Cox,0.0654871799768858,0.3504,0.0048988603561915,0.0201904677999287
5,2.0,0.4,2.0,0.3992733333333333,AD-AFS-Cox-T-Rex,0.023464491064491,0.9888,0.0020890462664286,0.0027430217528618
5,2.0,0.4,2.0,0.3992733333333333,VD-AFS-Cox-T-Rex,0.0255558386058386,0.9864,0.0020438363800483,0.0033184490667203
5,2.0,0.4,2.0,0.3992733333333333,VD-AFS-Gauss,0.0162414862914862,0.4256,0.0023404311856127,0.0124723855297053
5,2.0,0.4,2.0,0.3992733333333333,MX-Knockoff-Cox,0.0801018981018981,0.8972,0.0043233395726451,0.0132731561185233
5,4.0,0.4,4.0,0.40032,AD-AFS-Cox-T-Rex,0.0229090909090909,1.0,0.0018508154154509,0.0
5,4.0,0.4,4.0,0.40032,VD-AFS-Cox-T-Rex,0.0234545454545454,1.0,0.001863923316085,0.0
5,4.0,0.4,4.0,0.40032,VD-AFS-Gauss,0.0261675213675213,0.9604,0.0022900736037697,0.0039107887359296
5,4.0,0.4,4.0,0.40032,MX-Knockoff-Cox,0.0759359757889169,0.994,0.0043727358680118,0.0034571525577583
