n,p,m,L,rep,time_vd,time_ad,mem_vd_mb,mem_ad_mb,steps_vd,steps_ad,dummies_vd,dummies_ad,ok_vd,ok_ad
10000,100000,5,500000,0,34.826,84.5749,7830.39,45834.3,23,21,10,10,1,1
10000,100000,5,500000,1,34.3771,96.5372,7824.04,45838.4,22,23,10,10,1,1
10000,100000,5,500000,2,36.9988,90.9455,7824.85,45836.8,22,22,10,10,1,1
10000,100000,5,500000,3,40.0071,90.9447,7841.43,45836.8,25,22,10,10,1,1
10000,100000,5,500000,4,35.4584,98.2125,7824.85,45838.4,22,23,10,10,1,1
10000,100000,5,500000,5,37.2731,89.7371,7824.85,45835.2,22,21,10,10,1,1
10000,100000,5,500000,6,34.9518,104.991,7813.79,45844,20,27,10,10,1,1
10000,100000,5,500000,7,38.5125,90.2161,7824.85,45836.8,22,22,10,10,1,1
10000,100000,5,500000,8,45.9597,108.723,7852.48,45843.2,27,26,10,10,1,1
10000,100000,5,500000,9,28.0371,83.2787,7813.79,45833.6,20,20,10,10,1,1
10000,100000,5,500000,10,36.9617,84.1302,7818.81,45834.3,21,21,10,10,1,1
10000,100000,5,500000,11,36.0108,88.6867,7813.79,45834.3,20,21,10,10,1,1
10000,100000,5,500000,12,34.5089,75.2896,7813.79,45833.6,20,20,10,10,1,1
10000,100000,5,500000,13,46.9473,95.9262,7857.19,45838.4,28,23,10,10,1,1
10000,100000,5,500000,14,38.5191,88.2944,7829.56,45835.9,23,22,10,10,1,1
10000,100000,5,500000,15,37.9149,87.2509,7829.56,45837.5,23,23,10,10,1,1
10000,100000,5,500000,16,41.8673,88.4111,7835.9,45836.8,24,22,10,10,1,1
10000,100000,5,500000,17,32.2884,80.2061,7819.32,45833.6,21,20,10,10,1,1
10000,100000,5,500000,18,29.7676,81.7589,7813.79,45832.7,20,20,10,10,1,1
10000,100000,5,500000,19,32.651,91.8788,7824.85,45836.8,22,22,10,10,1,1
