n,p,m,L,rep,time_vd,time_ad,mem_vd_mb,mem_ad_mb,steps_vd,steps_ad,dummies_vd,dummies_ad,ok_vd,ok_ad
10000,100000,5,500000,0,26.4903,65.7818,7826.08,45838.3,22,20,10,10,1,1
10000,100000,5,500000,1,29.5866,71.6876,7842.11,45848,25,26,10,10,1,1
10000,100000,5,500000,2,26.708,65.552,7826.11,45839.7,22,21,10,10,1,1
10000,100000,5,500000,3,29.3703,58.7892,7826.11,45838.9,22,21,10,10,1,1
10000,100000,5,500000,4,26.9878,54.2645,7826.11,45838.1,22,20,10,10,1,1
10000,100000,5,500000,5,27.0349,50.2005,7820.51,45838.1,21,20,10,10,1,1
10000,100000,5,500000,6,23.9615,56.1279,7820.51,45839.7,21,21,10,10,1,1
10000,100000,5,500000,7,23.9211,65.804,7826.11,45847.1,22,25,10,10,1,1
10000,100000,5,500000,8,22.7074,51.6279,7826.11,45839.7,22,21,10,10,1,1
10000,100000,5,500000,9,27.4999,53.8326,7826.11,45841.4,22,22,10,10,1,1
10000,100000,5,500000,10,20.6559,49.1694,7814.91,45838.1,20,20,10,10,1,1
10000,100000,5,500000,11,25.0502,59.0179,7842.92,45845.5,25,24,10,10,1,1
10000,100000,5,500000,12,27.9481,68.6294,7848.52,45845.7,26,24,10,10,1,1
10000,100000,5,500000,13,22.2796,61.7498,7819.7,45841.4,21,22,10,10,1,1
10000,100000,5,500000,14,25.8712,63.1086,7820.51,45840,21,21,10,10,1,1
10000,100000,5,500000,15,25.2238,51.791,7825.3,45838.3,22,20,10,10,1,1
10000,100000,5,500000,16,27.0867,59.1559,7820.51,45841.4,21,22,10,10,1,1
10000,100000,5,500000,17,28.3616,81.2178,7831.71,45848.8,23,26,10,10,1,1
10000,100000,5,500000,18,27.169,69.431,7826.11,45843.8,22,23,10,10,1,1
10000,100000,5,500000,19,23.0085,57.2489,7820.51,45840,21,21,10,10,1,1
