n,p,m,L,rep,time_vd,time_ad,mem_vd_mb,mem_ad_mb,steps_vd,steps_ad,dummies_vd,dummies_ad,ok_vd,ok_ad
10000,100000,5,500000,0,29.2371,55.2333,8054.64,45864.7,24,21,10,10,1,1
10000,100000,5,500000,1,24.5614,52.5251,8001.76,45862.3,20,20,10,10,1,1
10000,100000,5,500000,2,29.308,61.0206,8054.67,45867.2,24,23,10,10,1,1
10000,100000,5,500000,3,31.8768,56.4852,8068.2,45864.7,25,21,10,10,1,1
10000,100000,5,500000,4,29.5171,61.8632,8053.86,45867.2,24,23,10,10,1,1
10000,100000,5,500000,5,25.8851,56.3788,8014.09,45863.9,21,21,10,10,1,1
10000,100000,5,500000,6,29.4566,69.8584,8054.67,45872.9,24,26,10,10,1,1
10000,100000,5,500000,7,28.1876,56.4113,8043.15,45864.7,23,21,10,10,1,1
10000,100000,5,500000,8,25.9276,58.9482,8014.09,45865.9,21,22,10,10,1,1
10000,100000,5,500000,9,25.9609,56.2694,8013.28,45863.1,21,21,10,10,1,1
10000,100000,5,500000,10,25.8798,56.3555,8014.09,45864.7,21,21,10,10,1,1
10000,100000,5,500000,11,27.2205,53.8767,8027.62,45861.5,22,20,10,10,1,1
10000,100000,5,500000,12,25.4356,53.8494,8002.57,45862.4,20,20,10,10,1,1
10000,100000,5,500000,13,25.9943,65.183,8014.09,45870.4,21,24,10,10,1,1
10000,100000,5,500000,14,27.1002,64.9411,8027.62,45870.4,22,24,10,10,1,1
10000,100000,5,500000,15,24.6261,57.8183,8002.57,45864.7,20,21,10,10,1,1
10000,100000,5,500000,16,27.1815,57.1995,8014.09,45864.7,21,21,10,10,1,1
10000,100000,5,500000,17,24.7298,62.8737,8002.57,45867.2,20,23,10,10,1,1
10000,100000,5,500000,18,27.0786,60.1293,8027.62,45865.6,22,22,10,10,1,1
10000,100000,5,500000,19,29.5195,62.9076,8054.67,45867.2,24,23,10,10,1,1
