n,p,m,L,rep,time_vd,time_ad,mem_vd_mb,mem_ad_mb,steps_vd,steps_ad,dummies_vd,dummies_ad,ok_vd,ok_ad
10000,100000,5,500000,0,24.7489,58.9733,7837.09,45842.8,35,23,10,10,1,1
10000,100000,5,500000,1,22.6903,44.8207,7819.5,45837.9,32,20,10,10,1,1
10000,100000,5,500000,2,23.2974,54.4146,7836.31,45843.2,35,23,10,10,1,1
10000,100000,5,500000,3,24.6269,63.661,7813.91,45841.2,31,22,10,10,1,1
10000,100000,5,500000,4,29.4987,58.7866,7830.71,45839.8,34,21,10,10,1,1
10000,100000,5,500000,5,25.5457,58.173,7813.91,45837.9,31,20,10,10,1,1
10000,100000,5,500000,6,27.5571,58.8426,7830.71,45839.5,34,21,10,10,1,1
10000,100000,5,500000,7,28.485,49.3436,7825.11,45839.5,33,21,10,10,1,1
10000,100000,5,500000,8,29.1227,51.8488,7830.71,45839.5,34,21,10,10,1,1
10000,100000,5,500000,9,28.5631,63.1019,7830.71,45844.8,34,24,10,10,1,1
10000,100000,5,500000,10,23.253,58.1408,7825.11,45843.2,33,23,10,10,1,1
10000,100000,5,500000,11,25.159,64.8599,7836.31,45846.5,35,25,10,10,1,1
10000,100000,5,500000,12,27.7668,55.3454,7825.11,45842.8,33,23,10,10,1,1
10000,100000,5,500000,13,25.0061,53.925,7819.5,45841.2,32,22,10,10,1,1
10000,100000,5,500000,14,28.467,57.707,7830.71,45846.1,34,25,10,10,1,1
10000,100000,5,500000,15,23.8364,55.9979,7819.5,45841.2,32,22,10,10,1,1
10000,100000,5,500000,16,21.5494,51.4113,7825.11,45839.5,33,21,10,10,1,1
10000,100000,5,500000,17,22.6174,53.5536,7819.5,45839.5,32,21,10,10,1,1
10000,100000,5,500000,18,22.9051,58.1831,7819.5,45839.5,32,21,10,10,1,1
10000,100000,5,500000,19,24.5148,62.5251,7825.11,45839.5,33,21,10,10,1,1
